id,NOM,NOM-titre,composante,contre indication,effet indesirable,précaution emploi,sur dosage,Classes thérapeutiques,pour lesquelles ce médicament peut être prescrit,autres formes,Forme pharmaceutique,Code ATC,Classepharmacothérapeutique,CODE,DCI1,DOSAGE1,UNITE_DOSAGE1,FORME,PRESENTATION,PPV,PH,PRIX_BaseRembours,PRINCEPS_GENERIQUE,TAUX_REMBOURSEMENT
545,FORTUM,"FORTUM 2 g, poudre pour solution injectable (IV) ou pour perfusion, boîte de 1 flacon de poudre de 2 g",Ceftazidime : 2 g *,"Hypersensibilité ceftazidime,Allergie bêtalactamines","Candidose,Vaginite à Candida,Muguet,Hyperéosinophilie,Thrombocytose,Leucopénie,Neutropénie,Thrombocytopénie,Lymphocytose,Anémie hémolytique,Agranulocytose,Anaphylaxie,Bronchospasme,Hypotension,Céphalée,Sensation vertigineuse,Tremblement,Myoclonie,Crise convulsive,Encéphalopathie,Coma,Paresthésie,Phlébite,Thrombophlébite,Diarrhée,Colite,Colite à C.difficile,Colite pseudomembraneuse,Douleur abdominale,Nausée,Vomissement,Dysgueusie,Augmentation des ALAT,Augmentation des ASAT,Augmentation des gamma GT,Augmentation des phosphatases alcalines,Augmentation de la LDH,Ictère,Eruption maculopapuleuse,Eruption urticarienne,Prurit cutané,Syndrome de Lyell,Syndrome de Stevens-Johnson,Erythème polymorphe,Angioedème,Syndrome DRESS,Augmentation de l'urée plasmatique,Augmentation de l'azotémie,Augmentation de la créatininémie,Néphrite interstitielle,Insuffisance rénale aiguë,Douleur au point d'injection IM,Inflammation au point d'injection IM,Fièvre,Test de Coombs positif","Réaction d'hypersensibilité,Diarrhée d'un traitement antibiotique,Colite à C.difficile,Insuffisance rénale (Clcr < 50 ml/mn),Positivité du test de Coombs,Régime désodé,Régime hyposodé,Sujet âgé de plus de 80 ans,Enfant de moins de 2 mois,Insuffisance hépatique sévère,Grossesse","Un surdosage peut entraîner des séquelles neurologiques, à savoir une encéphalopathie, des convulsions et un coma.,Des symptômes de surdosage peuvent se manifester si la dose n'est pas réduite de façon appropriée chez les patients insuffisants rénaux (voir rubriques ,Posologie et mode d'administration, et ,Mises en garde et précautions d'emploi,).,Les taux sériques de ceftazidime peuvent être réduits par hémodialyse ou dialyse péritonéale.",Infectiologie - Parasitologie,"Pneumonie nosocomiale,Infection bronchopulmonaire en cas de mucoviscidose,Méningite bactérienne,Otite moyenne chronique,Otite externe,Infection urinaire compliquée,Infection compliquée de la peau et des tissus mous,Infection intra-abdominale compliquée,Infection osseuse,Infection articulaire,Péritonite compliquant la dialyse péritonéale chronique ambulatoire,Bactériémie,Neutropénie fébrile,Prophylaxie d'infection pour la résection transurétrale de prostate","FORTUM 1 g, poudre pour solution injectable (IM, IV) ou pour perfusion, boîte de 1 flacon de poudre de 1 g,FORTUM 1 g, poudre pour solution injectable (IM, IV) ou pour perfusion, boîte de 1 flacon de poudre de 1 g,FORTUM 2 g, poudre pour solution injectable (IV) ou pour perfusion, boîte de 1 flacon de poudre de 2 g",Poudre pour solution injectable IV,J01DD02,Ceftazidime,6118001140459,CEFTAZIDIME,500MG,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON, 73.50   , 45.80   , 73.50   ,P,70%
546,FORTRANS,"FORTRANS, poudre pour solution buvable en sachet, sachets boîte de 4","Macrogol 4000 : 64 g *,Sulfate de sodium : 5.7 g *,Bicarbonate de sodium : 1.68 g *,Chlorure de sodium : 1.46 g *,Chlorure de potassium : 0.75 g *","Hypersensibilité macrogol,Déshydratation,Insuffisance cardiaque sévère,Carcinome du côlon,Pathologie colique entraînant une fragilité muqueuse,Iléus,Patient susceptible de présenter une occlusion intestinale,Occlusion intestinale,Perforation digestive,Risque de perforation intestinale,Altération de la vidange gastrique,Colite toxique,Mégacôlon toxique,Enfant de moins de 18 ans,Grossesse,Allaitement","Nausée,Douleur abdominale,Distension abdominale,Vomissement,Hypersensibilité,Choc anaphylactique,Angioedème,Urticaire allergique,Rash allergique,Prurit cutané,Trouble hydro-électrolytique","Sujet âgé,Altération de la fonction rénale,Insuffisance cardiaque,Régurgitation des aliments,Alitement,Trouble neurologique,Trouble moteur,Régime hyposodé,Régime désodé,Contient du potassium",Sans objet.,Gastro-Entéro-Hépatologie,Lavage colique,"FORTRANS, poudre pour solution buvable en sachet, sachets boîte de 50",Poudre pour solution buvable,A06AD65,Macrogol en association,6118001181209,MACROGOL 4000,64G,G,POUDRE POUR SOLUTION BUVABLE,1 BOITE 4 SACHET, 142.20   , 94.10   , 142.20   ,P,0%
547,FORTOVASE,"FORTOVASE 200 mg, capsule molle, boîte de 1 flacon de 180",,,,,,Infectiologie - Parasitologie,,,,,,6118001050109,SAQUINAVIR,200MG,MG,CAPSULE MOLLE,1 BOITE 180 CAPSULE MOLLE, -     ," 1,741.30   "," 1,741.30   ",P,0%
548,FORLAX,"FORLAX 10 g, poudre pour solution buvable en sachet, sachets boîte de 20",Macrogol 4000 : 10 g *,"Hypersensibilité macrogol,Hypersensibilité sulfites,Rectocolite hémorragique,Maladie de Crohn,Mégacôlon toxique,Perforation digestive,Risque de perforation digestive,Iléus,Occlusion intestinale,Sténose intestinale,Syndrome douloureux abdominal de cause indéterminée,Intolérance au fructose,Syndrome de malabsorption du glucose et du galactose","Douleur abdominale,Distension abdominale,Diarrhée,Nausée,Vomissement,Défécation impérieuse,Incontinence fécale,Trouble électrolytique,Hyponatrémie,Hypokaliémie,Déshydratation,Réaction d'hypersensibilité,Choc anaphylactique,Angioedème,Urticaire allergique,Eruption cutanée allergique,Prurit,Erythème cutané,Douleur péri-anale,Gêne respiratoire,Réaction allergique,Bronchospasme","Indications limitées à l'adulte et à l'enfant de plus de 8 ans,Diarrhée,Insuffisant hépatique,Insuffisant rénal,Sujet âgé,Troubles oromoteurs d'origine neurologique","Des diarrhées, douleurs abdominales et vomissements ont été rapportés. La diarrhée, due à une dose excessive, disparait à l'arrêt temporaire du traitement, ou après une réduction de la posologie.,En cas de perte hydrique importante secondaire à la diarrhée ou aux vomissements, il peut être nécessaire de corriger les désordres hydro-électrolytiques. ",Gastro-Entéro-Hépatologie,Constipation,"FORLAX 4 g, poudre pour solution buvable en sachet, sachets boîte de 20",Poudre pour solution buvable,A06AD15,Macrogol,6118001181193,MACROGOL 4000,10G,G,POUDRE POUR SOLUTION BUVABLE,1 BOITE 20 SACHET, 73.50   , 48.60   , 73.50   ,P,0%
549,FORADIL,"FORADIL 12 microgrammes, poudre pour inhalation en gélule, boîte (+ inhalateur) de 30 gélules",Formotérol fumarate : 12 microgrammes *,"Hypersensibilité formotérol,Enfant de moins de 6 ans,Allaitement","Réaction d'hypersensibilité,Hypotension,Urticaire allergique,Oedème de Quincke,Prurit,Rash allergique,Réaction cutanée,Hypokaliémie,Hyperglycémie,Agitation,Anxiété,Nervosité,Insomnie,Céphalée,Tremblement,Sensation vertigineuse,Dysgueusie,Palpitation,Tachycardie,Arythmie,Fibrillation auriculaire,Tachycardie supraventriculaire,Extrasystole,Angine de poitrine,Allongement de l'intervalle QT,Oedème périphérique,Variation de la pression artérielle,Bronchospasme,Irritation de la gorge,Toux,Enrouement,Bronchospasme paradoxal,Sécheresse buccale,Nausée,Spasme musculaire,Myalgie,Augmentation des taux sanguins d'insuline,Augmentation des taux d'acide gras libre,Augmentation des taux de glycérol,Augmentation des taux sanguins des corps cétoniques,Rash cutané","Dyspnée paroxystique,Etat de mal asthmatique,Enfant de 6 à 12 ans,Bronchospasme paradoxal,Infection bronchique,Bronchorrhée abondante,Hyperthyroïdie,Phéochromocytome,Insuffisance coronarienne,Troubles du rythme,Bloc auriculoventriculaire du 3ème degré,Insuffisance cardiaque sévère,Cardiomyopathie obstructive,Décompensation cardiaque,Sténose aortique sous-valvulaire,Affection cardiaque,Hypertension artérielle non contrôlée,Anévrisme,Thyréotoxicose,Allongement de l'intervalle QT,Diabétique,Hypokaliémie,Surveillance kaliémie,Enfant dont le débit inspiratoire est inférieur à 16 litres,Exacerbation de l'asthme,Grossesse,Insuffisant rénal,Insuffisant hépatique","Symptômes,L'expérience clinique de prise en charge d'un surdosage est limitée. Un surdosage de FORADIL risque d'entraîner les effets indésirables typiquement associés aux bêta-2 mimétiques: céphalées, tremblements, palpitations. Dans des cas isolés, les événements suivants ont été rapportés : tachycardie, allongement de l'intervalle QTc, trouble du rythme (dont les arythmies ventriculaires), acidose métabolique, hypokaliémie, hyperglycémie, variation tensionnelle, hypertension, nausées et vomissements. Dans ces cas, un traitement symptomatique est indiqué.,Traitement,Une surveillance est indiquée et un traitement symptomatique doit être prescrit si nécessaire. Dans les cas les plus sévères, le patient pourra être hospitalisé.,Le recours à des bêta‑bloquants cardiosélectifs peut être envisagé mais uniquement sous surveillance médicale et avec prudence, l'utilisation de bêta‑bloquants pouvant provoquer un bronchospasme. La kaliémie doit être surveillée.",Pneumologie,"Asthme,Bronchopneumopathie obstructive,Asthme induit par l'effort","FORADIL 12 microgrammes, poudre pour inhalation en gélule, boîte (+ inhalateur) de 60 gélules,FORADIL 12 microgrammes, poudre pour inhalation en gélule, boîte (+ inhalateur) de 10 gélules,FORADIL 12 microgrammes, poudre pour inhalation en gélule, boîte (+ inhalateur) de 60 gélules",Poudre pour inhalation,R03AC13,Formotérol,6118001030194,FORMOTEROL,12µG,µG,GELULE INHALEE,1 BOITE 30 GELULE, 172.20   , 107.60   , 123.80   ,P,70%
550,FONZYLANE,"FONZYLANE 150 mg, comprimé pelliculé, boîte de 20",Buflomédil : 150 mg *,"Epilepsie,Insuffisance rénale sévère (Clcr < 30 ml/mn),Hémodialyse,Intolérance au fructose,Syndrome de malabsorption du glucose,Syndrome de malabsorption du galactose,Déficit en sucrase-isomaltase,Allaitement","Nausée,Vomissement,Sensation de chaleur cutanée,Picotement des extrémités,Céphalée,Vertige,Tremblement,Rash cutané,Urticaire,Convulsions,Etat de mal convulsif,Myoclonie,Tachycardie sinusale,Hypotension artérielle,Trouble du rythme ventriculaire,Trouble de la conduction intraventriculaire,Arrêt circulatoire","Insuffisance rénale (30 < Clcr < 80 ml/mn),Sujet de plus de 65 ans,Sujet de moins de 50 kg,Grossesse",,Cardiologie et angéiologie,Claudication intermittente,"FONZYLANE 300 mg, comprimé pelliculé, boîte de 10,FONZYLANE 50 mg/5 ml, solution injectable, boîte de 2 ampoules de 5 ml,FONZYLANE 400 mg/120 ml, solution injectable pour perfusion en poche, boîte de 10 poches de 120 ml,FONZYLANE 400 mg, lyophilisat pour perfusion, boîte de 5 flacons de 400 mg",Comprimé pelliculé,C04AX20,Buflomédil,6118010117466,BUFLOMEDIL,300MG,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME PELLICULE, 117.10   , -     , 117.10   ,P,0%
551,FONGAMIL,"FONGAMIL 1 POUR CENT, poudre pour application locale en flacon, flacon de 20 g",Omoconazole nitrate : 0.2 g *,"Hypersensibilité omoconazole,Hypersensibilité imidazolés,Application sur les seins en cas d'allaitement","Sensation de brûlure cutanée,Irritation cutanée,Erythème","Peau lésée,Grande surface,Nourrisson","Aucun cas de surdosage n'a été rapporté, cependant une utilisation excessive pourra entraîner une exacerbation des effets indésirables tels qu'irritations et érythème.",Dermatologie,Balanite candidosique,"FONGAMIL 1 % Solution pour usage local flacon pressurisé de 30 g,FONGAMIL 1 %, crème, tube de 15 g",Poudre pour application locale,D01AC13,Omoconazole,6118000180173,OMOCONAZOLE,1%,%,CREME,1 TUBE 15 G, 35.95   , 23.80   , 35.95   ,P,0%
552,FLUIMUCIL,"FLUIMUCIL EXPECTORANT ACETYLCYSTEINE 200 mg, comprimé effervescent, boîte de 20",Acétylcystéine : 200 mg *,"Hypersensibilité acétylcystéine,Nourrisson de moins de 2 ans,Phénylcétonurie,Grossesse","Risque de surencombrement bronchique chez le nourrisson,Risque de surencombrement bronchique chez le patient incapable d'expectoration efficace,Réaction cutanée allergique,Prurit cutané,Eruption érythémateuse,Urticaire allergique,Angio-oedème,Gastralgie,Nausée,Diarrhée","Ulcère gastroduodénal,Régime désodé,Régime hyposodé",Sans objet.,Pneumologie,Troubles de la sécrétion bronchique,,Comprimé effervescent,R05CB01,Acétylcystéine,6118000190431,ACETYLCYSTEINE,200MG,MG,GRANULE POUR SOLUTION BUVABLE,1 BOITE 30 SACHET, 51.35   , 33.90   , 51.35   ,G,0%
553,FLUDEX LP,"FLUDEX 1,5 mg, comprimé pelliculé à libération prolongée, boîte de 90",Indapamide : 1.5 mg *,"Hypersensibilité indapamide,Hypersensibilité sulfamides,Insuffisance rénale sévère,Encéphalopathie hépatique,Insuffisance hépatique sévère,Hypokaliémie,Allaitement,Intolérance au galactose,Déficit en lactase,Syndrome de malabsorption du galactose,Syndrome de malabsorption du glucose,Grossesse","Agranulocytose,Anémie aplasique,Anémie hémolytique,Leucopénie,Thrombocytopénie,Hypercalcémie,Hypokaliémie,Hyponatrémie,Vertige,Fatigue,Céphalée,Paresthésie,Syncope,Myopie,Vision trouble,Trouble de la vision,Arythmie,Torsades de pointes,Hypotension,Vomissement,Nausée,Constipation,Bouche sèche,Pancréatite,Fonction hépatique altérée,Encéphalopathie hépatique,Hépatite,Réaction d'hypersensibilité,Eruption maculopapuleuse,Purpura,Angioedème,Urticaire,Syndrome de Lyell,Syndrome de Stevens-Johnson,Aggravation d'un lupus érythémateux aigu disséminé,Photosensibilité,Insuffisance rénale,Allongement de l'espace QT,Elévation de la glycémie,Elévation de l'uricémie,Elévation des enzymes hépatiques,Déplétion potassique,Hypovolémie,Déshydratation,Hypotension orthostatique,Perte d'ions chlore,Alcalose métabolique","Atteinte hépatique,Photosensibilité aux diurétiques thiazidiques,Surveillance natrémie,Hyponatrémie,Sujet âgé,Sujet dénutri,Sujet polymédiqué,Cirrhotique avec oedèmes et ascite,Coronarien,Insuffisant cardiaque,QT long,Surveillance kaliémie,Bradycardie,Hypercalcémie,Exploration de la fonction parathyroïdienne,Diabète,Hyperuricémie,Insuffisance rénale légère à modérée,Sportif","Symptômes,Indapamide n'a pas montré de toxicité jusqu'à 40 mg soit 27 fois la dose thérapeutique.,Les signes de l'intoxication aiguë se manifestent surtout par des désordres hydro-électrolytiques (hyponatrémie, hypokaliémie). Cliniquement, possibilité de nausées, vomissements, hypotension artérielle, crampes, vertiges, somnolence, états confusionnels, polyurie ou oligurie allant jusqu'à l'anurie (par hypovolémie).,Prise en charge,Les premières mesures consistent à éliminer rapidement le/ou les produits ingérés par lavage gastrique et/ou administration de charbon activé puis à restaurer l'équilibre hydro-électrolytique dans un centre spécialisé jusqu'à normalisation.",Cardiologie et angéiologie,Hypertension artérielle essentielle,"FLUDEX 1,5 mg, comprimé pelliculé à libération prolongée, boîte de 100,FLUDEX 1,5 mg, comprimé pelliculé à libération prolongée, boîte de 30",Comprimé pelliculé à libération prolongée,C03BA11,Indapamide,6118000100126,INDAPAMIDE,1.5MG,MG,COMPRIME ENROBE LP,1 BOITE 30 COMPRIME, 68.90   , 43.10   , 34.20   ,P,70%
554,FLUDEX,"FLUDEX 2,5 mg, comprimé pelliculé, boîte de 30",Indapamide : 2.5 mg *,"Hypersensibilité indapamide,Hypersensibilité sulfamides,Insuffisance rénale sévère,Encéphalopathie hépatique,Insuffisance hépatique sévère,Hypokaliémie,Allaitement,Intolérance au galactose,Déficit en lactase,Syndrome de malabsorption du galactose,Syndrome de malabsorption du glucose,Grossesse","Agranulocytose,Anémie aplasique,Anémie hémolytique,Leucopénie,Thrombocytopénie,Hypercalcémie,Hypokaliémie,Hyponatrémie,Vertige,Fatigue,Céphalée,Paresthésie,Syncope,Myopie,Vision trouble,Trouble de la vision,Arythmie,Torsades de pointes,Hypotension,Vomissement,Nausée,Constipation,Bouche sèche,Pancréatite,Fonction hépatique altérée,Encéphalopathie hépatique,Hépatite,Réaction d'hypersensibilité,Eruption maculopapuleuse,Purpura,Angioedème,Urticaire,Syndrome de Lyell,Syndrome de Stevens-Johnson,Aggravation d'un lupus érythémateux aigu disséminé,Photosensibilité,Insuffisance rénale,Allongement de l'espace QT,Elévation de la glycémie,Elévation de l'uricémie,Elévation des enzymes hépatiques,Déplétion potassique,Hypovolémie,Déshydratation,Hypotension orthostatique,Perte d'ions chlore,Alcalose métabolique","Atteinte hépatique,Photosensibilité aux diurétiques thiazidiques,Surveillance natrémie,Hyponatrémie,Sujet âgé,Sujet dénutri,Sujet polymédiqué,Cirrhotique avec oedèmes et ascite,Coronarien,Insuffisant cardiaque,QT long,Surveillance kaliémie,Bradycardie,Hypercalcémie,Exploration de la fonction parathyroïdienne,Diabète,Hyperuricémie,Insuffisance rénale légère à modérée,Sportif","Symptômes,L'indapamide n'a pas montré de toxicité jusqu'à 40 mg soit 16 fois la dose thérapeutique.,Les signes de l'intoxication aiguë se manifestent surtout par des désordres hydro-électrolytiques (hyponatrémie, hypokaliémie). Cliniquement, possibilité de nausées, vomissements, hypotension artérielle, crampes, vertiges, somnolence, états confusionnels, polyurie ou oligurie allant jusqu'à l'anurie (par hypovolémie).,Prise en charge,Les premières mesures consistent à éliminer rapidement le/ou les produits ingérés par lavage gastrique et/ou administration de charbon activé puis à restaurer l'équilibre hydro-électrolytique dans un centre spécialisé jusqu'à normalisation.",Cardiologie et angéiologie,Hypertension artérielle,"FLUDEX 2,5 mg, comprimé pelliculé, boîte de 100",Comprimé pelliculé,C03BA11,Indapamide,6118000100119,INDAPAMIDE,2.5MG,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME, 63.60   , -     , 52.00   ,P,70%
555,FLUDARA,"FLUDARA 10 mg, comprimé pelliculé, flacon de 4 plaquettes thermoformées de 5",Fludarabine : 10 mg *,"Hypersensibilité fludarabine,Insuffisance rénale (Clcr < 30 ml/mn),Anémie hémolytique décompensée,Absence de contraception féminine efficace,Absence de contraception masculine,Allaitement,Enfant avant 6 ans,Grossesse,Enfant de 6 à 15 ans,Intolérance au galactose,Déficit en lactase,Malabsorption du glucose ou du galactose","Infection,Infection opportuniste,Réactivation et apparition d'infection latente,Leuco-encéphalopathie multifocale progressive,Infection par le virus de l'herpès,Infection due au virus d'Epstein Barr,Pneumonie,Affection lymphoprolifératrice liée à l'EVB,Syndrome myélodysplasique,Leucémie myéloïde aiguë secondaire,Neutropénie,Anémie,Thrombocytopénie,Myélosuppression,Affection auto-immune,Anémie hémolytique auto-immune,Syndrome d'Evans,Purpura thrombocytopénique,Hémophilie acquise,Pemphigus,Anorexie,Syndrome de lyse tumorale,Insuffisance rénale,Acidose métabolique,Hyperkaliémie,Hypocalcémie,Hyperuricémie,Hématurie,Excrétion urinaire de cristaux d'urate,Hyperphosphatémie,Neuropathie périphérique,Confusion,Coma,Crise convulsive,Agitation,Troubles visuels,Cécité,Névrite optique,Neuropathie optique,Insuffisance cardiaque,Arythmie,Toux,Toxicité pulmonaire,Fibrose pulmonaire,Pneumopathie,Dyspnée,Vomissement,Diarrhée,Nausée,Stomatite,Hémorragie gastro-intestinale,Taux anormal d'enzymes pancréatiques,Taux anormal d'enzymes hépatiques,Rash cutané,Cancer de la peau,Syndrome de Lyell,Syndrome de Stevens-Johnson,Fièvre,Fatigue,Faiblesse,Oedème,Mucite,Frissons,Malaise,Hémorragie cérébrale,Leuco-encéphalopathie,Leuco-encéphalopathie toxique aiguë,Syndrome de Leuco-encéphalopathie Postérieure Réversible,Hémorragie pulmonaire,Cystite hémorragique,Hypoplasie médullaire,Pancytopénie","Surveillance NFS,Hémolyse,Surveillance neurologique,Irradiation crânienne,Antécédent d'irradiation corporelle,Greffe de cellules souches hématopoïétiques,Maladie du greffon contre l'hôte,Atteinte de la fonction rénale,Encéphalopathie hépatique,Leuco-encéphalopathie,Syndrome d'Encéphalopathie Postérieure Réversible,Syndrome de lyse tumorale,Transfusion sanguine,Cancer de la peau,Altération de l'état général,Thrombocytopénie,Anémie,Granulocytopénie,Immunodéficience,Antécédent d'infection opportuniste,Insuffisance rénale (30 < Clcr < 70 ml/mn),Sujet âgé de plus de 65 ans,Femme en âge de procréer,Homme fertile,Insuffisant hépatique","De fortes doses de Fludara administrées par voie intraveineuse ont été associées à des leucoencéphalopathies, des leucoencéphalopathies toxiques aiguës ou des syndromes de leucoencéphalopathie postérieure réversible (RPLS). Les symptômes peuvent inclure des céphalées, nausées et vomissements, des convulsions, des trouble visuels tels que la perte de vision, une altération de la conscience et des déficits neurologiques focaux. D'autres effets peuvent inclure une névrite optique, papillite, confusion, somnolence, agitation, paraparésie/quadriparésie, spasticité musculaire, incontinence, une toxicité irréversible sur le système nerveux central, caractérisée par une cécité retardée, un coma, et le décès. Les fortes doses ont également été associées à des thrombocytopénies et neutropénies sévères dues à la myélosuppression.,Il n'existe pas d'antidote connu. Le traitement des manifestations de surdosage est limité à l'arrêt du traitement et à la mise en oeuvre d'une thérapeutique symptomatique.",Cancérologie et hématologie,Leucémie lymphoïde chronique à cellules B,"FLUDARA 10 mg, comprimé pelliculé, flacon de 3 plaquettes thermoformées de 5",Comprimé pelliculé,L01BB05,Fludarabine,6118010115929,FLUDARABINE,10MG,MG,COMPRIME PELLICULE,1 BOITE 15 COMPRIME," 3,606.00   "," 3,301.00   "," 3,606.00   ",P,70%
556,FLUCON,"FLUCON, collyre, flacon compte-gouttes de 3 ml",Fluorométholone : 0.1 g *,"Hypersensibilité fluorométholone,Hypersensibilité chlorure de benzalkonium,Infections et lésions cornéennes et/ou conjonctivales d'origine virale,Infections et lésions cornéennes et/ou conjonctivales d'origine bactérienne,Infections et lésions cornéennes et/ou conjonctivales d'origine fongique,Infections et lésions cornéennes et/ou conjonctivales d'origine amibienne","Exacerbation d'infection oculaire,Infection oculaire secondaire,Allergie oculaire,Altération du champ visuel,Irritation oculaire,Hyperémie oculaire,Vision trouble,Cataracte sous-capsulaire postérieure,Glaucome,Baisse d'acuité visuelle,Prurit oculaire,Perforation cornéenne,Retard de cicatrisation de la cornée,Augmentation de la pression intra-oculaire","Enfant,Surveillance pression intra-oculaire,Port de lentilles de contact,Allaitement","Il est peu probable qu'un surdosage local provoque une intoxication. Un surdosage de FLUCON, collyre dans l'oeil peut être rincé au sérum physiologique stérile. Le traitement d'une ingestion orale accidentelle sera symptomatique.",Ophtalmologie,"Affection allergique conjonctivopalpébrale,Kératite,Uvéite antérieure,Réaction inflammatoire ophtalmique post-opératoire,Etat inflammatoire du globe oculaire associé à un glaucome",,Collyre,S01BA07,Fluorométholone,6118001070244,FLUOROMETHOLONE,0.1%,%,COLLYRE,1 FLACON 3 ML, 22.60   , 14.10   , 22.60   ,P,70%
557,FLUARIX,"FLUARIX, suspension injectable en seringue préremplie. Vaccin grippal inactivé à virion fragmenté, boîte de 1 seringue préremplie (+ 2 aiguilles) de ½ mL","Virus de la grippe :  ,A/California/7/2009 (H1N1)pdm09 : 15 microgrammes HA** *,A/Switzerland/9715293/2013 (H3N2) : 15 microgrammes HA** *,B/Phuket/3073/2013 : 15 microgrammes HA** *","Hypersensibilité oeuf,Hypersensibilité protéines de poulet,Hypersensibilité ovalbumine,Hypersensibilité formaldéhyde,Hypersensibilité gentamicine,Hypersensibilité désoxycholate de sodium,Maladie fébrile ou infection aiguë,Voie intravasculaire","Céphalée,Sueurs,Myalgie,Arthralgie,Fièvre,Malaise,Frissons,Fatigue,Rougeur au site d'injection,Gonflement au site d'injection,Douleur au site d'injection,Ecchymose au site d'injection,Induration au site d'injection,Perte d'appétit,Irritabilité,Somnolence,Symptômes gastro-intestinaux,Thrombocytopénie,Lymphadénopathie,Réaction allergique,Conjonctivite,Choc allergique,Angioedème,Névralgie,Paresthésie,Convulsion fébrile,Encéphalomyélite,Névrite,Syndrome de Guillain-Barré,Vascularite avec atteinte rénale,Réaction cutanée généralisée,Prurit cutané généralisé,Urticaire généralisée,Eruption cutanée généralisée,Syncope,Vision trouble transitoire,Mouvement tonico-clonique","Posologies limitées à l'adulte et à l'enfant de plus de 6 mois,Réaction anaphylactique suivant l'administration du vaccin,Immunodépression",Il est improbable qu'un surdosage provoque un effet nocif.,Infectiologie - Parasitologie,Prévention de la grippe,"FLUARIX, suspension injectable en seringue préremplie. Vaccin grippal inactivé à virion fragmenté, boîte de 1 seringue préremplie (+ 2 aiguilles) de ½ mL",Suspension injectable,J07BB02,"Grippe, antigène purifé",6118001140428,VACCIN ANTIGRIPPAL,,,SUSPENSION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE, 75.00   , 46.70   , 75.00   ,P,70%
